algorithm,n,input_type,time_ns,max_depth,comparisons,swaps,recursive_calls,result
MergeSort,1000,random,282298,7,10359,0,127,sorted
QuickSort,1000,random,245904,6,17197,7453,187,sorted
MergeSort,1000,sorted,6991,7,999,0,127,sorted
QuickSort,1000,sorted,117134,6,17302,5774,198,sorted
MergeSort,1000,reverse,56714,7,10363,0,127,sorted
QuickSort,1000,reverse,302437,6,17149,6416,201,sorted
MergeSort,1000,duplicate-heavy,89562,7,9845,0,127,sorted
QuickSort,1000,duplicate-heavy,13360,3,6061,2405,4,sorted
MergeSort,5000,random,750581,9,66983,0,511,sorted
QuickSort,5000,random,337950,8,102964,48904,920,sorted
MergeSort,5000,sorted,59267,9,4999,0,511,sorted
QuickSort,5000,sorted,349288,8,110114,36938,1000,sorted
MergeSort,5000,reverse,242128,9,66539,0,511,sorted
QuickSort,5000,reverse,227027,7,118657,43016,1001,sorted
MergeSort,5000,duplicate-heavy,189971,9,62729,0,511,sorted
QuickSort,5000,duplicate-heavy,84084,2,26999,12004,4,sorted
MergeSort,20000,random,1763903,11,307925,0,2047,sorted
QuickSort,20000,random,2092589,9,538401,260760,3671,sorted
MergeSort,20000,sorted,91616,11,19999,0,2047,sorted
QuickSort,20000,sorted,1010266,9,511105,178152,4013,sorted
MergeSort,20000,reverse,717132,11,286159,0,2047,sorted
QuickSort,20000,reverse,1013851,9,512317,176202,4057,sorted
MergeSort,20000,duplicate-heavy,975645,11,292148,0,2047,sorted
QuickSort,20000,duplicate-heavy,285012,2,117344,43645,5,sorted
MergeSort,50000,random,4180111,13,834257,0,5791,sorted
QuickSort,50000,random,4307429,9,1519584,710592,9243,sorted
MergeSort,50000,sorted,236851,13,49999,0,5791,sorted
QuickSort,50000,sorted,2764264,11,1506237,543698,9956,sorted
MergeSort,50000,reverse,1471470,13,740703,0,5791,sorted
QuickSort,50000,reverse,3437391,10,1594981,599320,10007,sorted
MergeSort,50000,duplicate-heavy,2235311,13,789424,0,5791,sorted
QuickSort,50000,duplicate-heavy,1020201,2,260715,105611,3,sorted
DeterministicSelect,1000,random,350749,5,9447,3327,48,10
DeterministicSelect,5000,random,366904,6,46333,16521,99,196
DeterministicSelect,20000,random,1315328,7,199602,71407,285,310
DeterministicSelect,50000,random,1746908,7,503276,179618,529,-23
ClosestPair,1000,random-points,4256895,10,13077,0,975,44.73913210
ClosestPair,5000,random-points,14202825,12,80088,0,4095,15.66415536
ClosestPair,20000,random-points,33171618,14,373303,0,16383,2.17056751
ClosestPair,50000,random-points,67234816,16,1001061,0,34463,2.41121132
